Rk,Gcar,Gtm,Week,Date,Team,Home/Away,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Y/A,Passing_AY/A,Passing_Rate,Passing_Sk,Passing_Yds_Lost,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_FRTD,Snap_Counts_OffSnp,Snap_Counts_Off%,Snap_Counts_DefSnp,Snap_Counts_Def%,Snap_Counts_STSnp,Snap_Counts_ST%
54,54,8,8,2022-10-30,ARI,@,MIN,L 26-34,*,31,44,70.5,326,3,2,7.4,6.73,95.5,4,29,6,36,0,6.0,0,0,0,0,1,0,0,1,5,0,78,100.0,0,0.0,0,0.0
55,55,9,9,2022-11-06,ARI,,SEA,L 21-31,*,25,35,71.4,175,2,0,5.0,6.14,101.5,5,35,8,60,0,7.5,0,0,0,0,2,1,0,1,0,0,63,100.0,0,0.0,0,0.0
56,56,12,12,2022-11-27,ARI,,LAC,L 24-25,*,18,29,62.1,191,2,1,6.6,6.41,89.9,1,6,7,56,1,8.0,0,0,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
57,57,13,14,2022-12-12,ARI,,NWE,L 13-27,*,1,1,100.0,9,0,0,9.0,9.00,104.2,0,0,1,3,0,3.0,0,0,0,0,0,0,0,0,0,0,3,4.0,0,0.0,0,0.0
58,58,10,10,2023-11-12,ARI,,ATL,W 25-23,*,19,32,59.4,249,0,1,7.8,6.38,71.0,2,19,6,33,1,5.5,0,0,0,0,0,0,0,0,0,0,63,96.9,0,0.0,0,0.0
59,59,11,11,2023-11-19,ARI,@,HOU,L 16-21,*,20,30,66.7,214,1,1,7.1,6.30,84.6,3,18,7,51,1,7.3,0,0,0,0,1,0,0,0,0,0,61,100.0,0,0.0,0,0.0
60,60,12,12,2023-11-26,ARI,,LAR,L 14-37,*,27,45,60.0,256,1,0,5.7,6.13,83.2,4,37,1,2,1,2.0,0,0,0,0,0,0,0,0,0,0,70,98.6,0,0.0,0,0.0
61,61,13,13,2023-12-03,ARI,@,PIT,W 24-10,*,13,23,56.5,145,1,0,6.3,7.17,89.9,2,13,9,20,0,2.2,0,0,0,0,2,0,0,0,-3,0,68,100.0,0,0.0,0,0.0
62,62,14,15,2023-12-17,ARI,,SFO,L 29-45,*,26,39,66.7,211,1,2,5.4,3.62,67.4,3,9,6,49,0,8.2,0,0,0,0,2,0,0,0,0,0,72,97.3,0,0.0,0,0.0
63,63,15,16,2023-12-24,ARI,@,CHI,L 16-27,*,24,38,63.2,230,2,0,6.1,7.11,97.5,2,17,5,32,0,6.4,0,0,0,0,1,0,0,0,-8,0,61,100.0,0,0.0,0,0.0
64,64,16,17,2023-12-31,ARI,@,PHI,W 35-31,*,25,31,80.6,232,3,1,7.5,7.97,116.7,1,4,5,24,0,4.8,0,0,0,0,1,0,0,1,0,0,75,98.7,0,0.0,0,0.0
65,65,17,18,2024-01-07,ARI,,SEA,L 20-21,*,22,30,73.3,262,1,0,8.7,9.40,110.7,1,2,5,33,0,6.6,0,0,0,0,0,0,0,0,0,0,68,97.1,0,0.0,0,0.0
66,66,1,1,2024-09-08,ARI,@,BUF,L 28-34,*,21,31,67.7,162,1,0,5.2,5.87,91.1,4,16,5,57,0,11.4,0,0,0,0,1,1,0,0,0,0,61,100.0,0,0.0,0,0.0
67,67,2,2,2024-09-15,ARI,,LAR,W 41-10,*,17,21,81.0,266,3,0,12.7,15.52,158.3,1,8,5,59,0,11.8,0,0,0,0,0,0,0,0,0,0,60,90.9,0,0.0,0,0.0
68,68,3,3,2024-09-22,ARI,,DET,L 13-20,*,21,34,61.8,207,1,1,6.1,5.35,76.5,1,7,5,45,0,9.0,0,0,0,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
69,69,4,4,2024-09-29,ARI,,WAS,L 14-42,*,16,22,72.7,142,1,0,6.5,7.36,104.7,4,27,1,3,0,3.0,0,0,0,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
70,70,5,5,2024-10-06,ARI,@,SFO,W 24-23,*,19,30,63.3,195,1,1,6.5,5.67,79.2,1,6,7,83,1,11.9,0,0,0,0,1,0,0,0,0,0,58,100.0,0,0.0,0,0.0
71,71,6,6,2024-10-13,ARI,@,GNB,L 13-34,*,22,32,68.8,214,1,0,6.7,7.31,97.7,0,0,7,14,0,2.0,0,0,0,0,1,1,0,0,-3,0,58,100.0,0,0.0,0,0.0
72,72,7,7,2024-10-21,ARI,,LAC,W 17-15,*,14,26,53.8,145,1,1,5.6,4.62,67.0,0,0,6,64,1,10.7,0,0,0,0,0,0,0,0,0,0,54,94.7,0,0.0,0,0.0
73,73,8,8,2024-10-27,ARI,@,MIA,W 28-27,*,26,36,72.2,307,2,0,8.5,9.64,116.3,0,0,5,19,0,3.8,0,0,0,0,1,0,0,1,0,0,66,100.0,0,0.0,0,0.0
74,74,9,9,2024-11-03,ARI,,CHI,W 29-9,*,13,20,65.0,154,0,0,7.7,7.70,88.3,3,17,2,6,0,3.0,0,0,0,0,1,1,0,0,0,0,55,94.8,0,0.0,0,0.0
75,75,10,10,2024-11-10,ARI,,NYJ,W 31-6,*,22,24,91.7,266,1,0,11.1,11.92,126.7,1,7,3,21,2,7.0,0,0,0,0,1,0,0,1,0,0,52,88.1,0,0.0,0,0.0
76,76,11,12,2024-11-24,ARI,@,SEA,L 6-16,*,24,37,64.9,285,0,1,7.7,6.49,77.0,5,36,2,9,0,4.5,0,0,0,0,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0
77,77,12,13,2024-12-01,ARI,@,MIN,L 22-23,*,31,45,68.9,260,1,2,5.8,4.22,72.5,1,8,7,48,0,6.9,0,0,0,0,1,0,0,1,0,0,82,100.0,0,0.0,0,0.0
78,78,13,14,2024-12-08,ARI,,SEA,L 18-30,*,25,38,65.8,259,2,2,6.8,5.50,80.9,2,24,3,16,0,5.3,0,0,0,0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
79,79,14,15,2024-12-15,ARI,,NWE,W 30-17,*,23,30,76.7,224,0,0,7.5,7.47,97.1,0,0,5,11,0,2.2,0,0,0,0,0,0,0,0,0,0,63,90.0,0,0.0,0,0.0
80,80,15,16,2024-12-22,ARI,@,CAR,L 30-36 (OT),*,20,32,62.5,202,1,1,6.3,5.53,77.9,3,26,8,63,1,7.9,0,0,0,0,1,1,0,0,-1,0,70,100.0,0,0.0,0,0.0
81,81,16,17,2024-12-28,ARI,@,LAR,L 9-13,*,33,48,68.8,321,1,2,6.7,5.23,76.8,4,38,4,32,0,8.0,0,0,0,0,0,0,0,0,0,0,79,100.0,0,0.0,0,0.0
82,82,17,18,2025-01-05,ARI,,SFO,W 47-24,*,25,35,71.4,242,4,0,6.9,9.20,128.5,0,0,3,22,0,7.3,0,0,0,0,0,0,0,0,0,0,60,92.3,0,0.0,0,0.0
83,83,1,1,2025-09-07,ARI,@,NOR,W 20-13,*,21,29,72.4,163,2,0,5.6,7.00,108.8,5,33,7,38,0,5.4,0,0,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
84,84,2,2,2025-09-14,ARI,,CAR,W 27-22,*,17,25,68.0,220,1,1,8.8,7.80,92.1,1,9,7,32,0,4.6,0,0,0,0,0,0,0,0,0,0,54,98.2,0,0.0,0,0.0
85,85,3,3,2025-09-21,ARI,@,SFO,L 15-16,*,22,35,62.9,159,1,0,4.5,5.11,82.9,1,5,6,37,0,6.2,0,0,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
86,86,4,4,2025-09-25,ARI,,SEA,L 20-23,*,27,41,65.9,200,2,2,4.9,3.66,73.2,6,36,5,41,0,8.2,0,0,0,0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
87,87,5,5,2025-10-05,ARI,,TEN,L 21-22,*,23,31,74.2,220,0,0,7.1,7.10,93.5,3,28,4,25,1,6.3,0,0,0,0,1,1,0,0,-4,0,65,95.6,0,0.0,0,0.0
